英文名,中文名,CK版本,Scryfall系列,系列代码,编号,变体/皮肤,闪卡,现金回收USD,现金回收CNY,店铺积分USD,店铺积分CNY,CK正常售价USD,CK正常售价CNY,现金/售价比例,积分/售价比例,收购数量,零售库存,发售日,稀有度,Card Kingdom链接,Scryfall链接,SKU
Black Lotus,黑莲花,Alpha,Limited Edition Alpha,LEA,232,,否,68000.0,459663.88,88400.0,597563.05,149999.99,1013964.38,0.4533,0.5893,3,1,1993-08-05,rare,https://www.cardkingdom.com/mtg/alpha/black-lotus,https://scryfall.com/card/lea/232/black-lotus?utm_source=api,LEA-232
Black Lotus,黑莲花,Beta,Limited Edition Beta,LEB,233,,否,35000.0,236591.71,45500.0,307569.22,59999.99,405585.71,0.5833,0.7583,3,0,1993-10-04,rare,https://www.cardkingdom.com/mtg/beta/black-lotus,https://scryfall.com/card/leb/233/black-lotus?utm_source=api,LEB-233
The Soul Stone,灵魂宝石,Marvel's Spider-Man Variants,Marvel's Spider-Man,SPM,242,0242 - Textless Cosmic Foil,是,30000.0,202792.89,39000.0,263630.76,37999.99,256870.93,0.7895,1.0263,1,0,2025-09-26,mythic,https://www.cardkingdom.com/mtg/marvels-spider-man-variants/the-soul-stone-0242-textless-cosmic-foil-foil,https://scryfall.com/card/spm/242/the-soul-stone?utm_source=api,CFSPM-0242
The Mind Stone,心灵宝石,Marvel Super Heroes Variants,,,,0385 - Textless Cosmic Foil,是,25920.0,175213.06,33696.0,227776.97,43199.99,292021.69,0.6,0.78,5,0,,,https://www.cardkingdom.com/mtg/marvel-super-heroes-variants/the-mind-stone-0385-textless-cosmic-foil-foil,,CFMSH-0385
Black Lotus,黑莲花,Unlimited,Unlimited Edition,2ED,233,,否,18000.0,121675.73,23400.0,158178.45,29999.99,202792.82,0.6,0.78,3,0,1993-12-01,rare,https://www.cardkingdom.com/mtg/unlimited/black-lotus,https://scryfall.com/card/2ed/233/black-lotus?utm_source=api,2ED-233
Smaug the Magnificent,了不起的斯毛格,The Hobbit Variants,,,,0249 - Borderless Gleaming Gold Foil,是,18000.0,121675.73,23400.0,158178.45,29999.99,202792.82,0.6,0.78,0,0,,,https://www.cardkingdom.com/mtg/the-hobbit-variants/smaug-the-magnificent-0249-borderless-gleaming-gold-foil-foil,,GGFHOB-0249
Mox Sapphire,蓝宝石玛珂,Alpha,Limited Edition Alpha,LEA,265,,否,13800.0,93284.73,17940.0,121270.15,22999.99,155474.48,0.6,0.78,3,0,1993-08-05,rare,https://www.cardkingdom.com/mtg/alpha/mox-sapphire,https://scryfall.com/card/lea/265/mox-sapphire?utm_source=api,LEA-265
Ancestral Recall,先人的召还,Alpha,Limited Edition Alpha,LEA,47,,否,13200.0,89228.87,17160.0,115997.53,21999.99,148714.72,0.6,0.78,3,1,1993-08-05,rare,https://www.cardkingdom.com/mtg/alpha/ancestral-recall,https://scryfall.com/card/lea/47/ancestral-recall?utm_source=api,LEA-047
Timetwister,时间扭曲,Alpha,Limited Edition Alpha,LEA,84,,否,11000.0,74357.39,14300.0,96664.61,21999.99,148714.72,0.5,0.65,2,3,1993-08-05,rare,https://www.cardkingdom.com/mtg/alpha/timetwister,https://scryfall.com/card/lea/84/timetwister?utm_source=api,LEA-084
Mox Emerald,翡翠玛珂,Alpha,Limited Edition Alpha,LEA,261,,否,10800.0,73005.44,14040.0,94907.07,17999.99,121675.67,0.6,0.78,3,1,1993-08-05,rare,https://www.cardkingdom.com/mtg/alpha/mox-emerald,https://scryfall.com/card/lea/261/mox-emerald?utm_source=api,LEA-261
Volcanic Island,火山岛,Beta,Limited Edition Beta,LEB,287,,否,10260.0,69355.17,13338.0,90161.72,17099.99,115591.88,0.6,0.78,3,0,1993-10-04,rare,https://www.cardkingdom.com/mtg/beta/volcanic-island,https://scryfall.com/card/leb/287/volcanic-island?utm_source=api,LEB-287
Mox Jet,黑玉玛珂,Alpha,Limited Edition Alpha,LEA,262,,否,10000.0,67597.63,13000.0,87876.92,19999.99,135195.19,0.5,0.65,3,1,1993-08-05,rare,https://www.cardkingdom.com/mtg/alpha/mox-jet,https://scryfall.com/card/lea/262/mox-jet?utm_source=api,LEA-262
